log_id,card_id,timestamp,attempt_count,status
L129,C114,2026-04-17 05:34:32.057031,3,failed
L130,C148,2026-04-13 02:17:32.057033,2,success
L131,C142,2026-04-19 11:31:32.057036,3,failed
L132,C102,2026-04-14 07:44:32.057038,2,success
L133,C100,2026-04-12 14:39:32.057040,1,success
L134,C138,2026-04-13 22:48:32.057042,1,success
L135,C114,2026-04-15 00:44:32.057044,1,success
L136,C116,2026-04-13 05:12:32.057047,3,failed
L137,C120,2026-04-14 19:13:32.057049,2,success
L138,C145,2026-04-14 18:10:32.057051,2,success
L139,C119,2026-04-13 11:44:32.057053,3,failed
L140,C130,2026-04-18 15:53:32.057056,2,success
L141,C120,2026-04-13 05:20:32.057058,1,success
L142,C143,2026-04-13 21:49:32.057060,4,failed
L143,C100,2026-04-13 09:44:32.057062,3,failed
L144,C118,2026-04-16 19:58:32.057065,3,failed
L145,C122,2026-04-14 05:39:32.057067,1,success
L146,C135,2026-04-18 11:46:32.057069,2,success
L147,C125,2026-04-19 03:03:32.057071,1,success
L148,C141,2026-04-17 16:16:32.057073,3,failed
L149,C149,2026-04-17 18:31:32.057078,1,success
L150,C121,2026-04-18 22:33:32.057080,1,success
L151,C114,2026-04-14 13:41:32.057082,2,success
L152,C135,2026-04-18 23:53:32.057085,3,failed
L153,C120,2026-04-16 23:22:32.057088,1,success
L154,C143,2026-04-16 15:15:32.057090,1,success
L155,C112,2026-04-13 20:02:32.057092,2,success
L156,C108,2026-04-18 20:27:32.057094,1,success
L157,C146,2026-04-15 07:00:32.057096,1,success
L158,C124,2026-04-14 23:37:32.057099,3,failed
L159,C102,2026-04-19 07:43:32.057101,2,success
L160,C121,2026-04-18 06:29:32.057103,1,success
L161,C137,2026-04-14 16:23:32.057105,1,success
L162,C142,2026-04-15 15:31:32.057108,2,success
L163,C107,2026-04-12 23:38:32.057110,1,success
L164,C148,2026-04-13 05:41:32.057112,2,success
L165,C108,2026-04-13 11:08:32.057114,2,success
L166,C146,2026-04-13 00:06:32.057117,1,success
L167,C119,2026-04-13 04:08:32.057119,1,success
L168,C128,2026-04-16 08:28:32.057121,1,success
L169,C141,2026-04-13 14:44:32.057123,2,success
L170,C100,2026-04-18 16:38:32.057126,1,success
L171,C148,2026-04-19 06:18:32.057128,2,success
L172,C137,2026-04-13 12:11:32.057130,3,failed
L173,C144,2026-04-15 21:02:32.057133,1,success
L174,C117,2026-04-13 07:06:32.057135,2,success
L175,C136,2026-04-15 15:37:32.057137,2,success
L176,C128,2026-04-14 20:43:32.057140,1,success
L177,C113,2026-04-17 21:23:32.057142,3,failed
L178,C115,2026-04-16 22:28:32.057144,2,success
L179,C141,2026-04-18 11:27:32.057147,1,success
L180,C127,2026-04-13 21:49:32.057149,2,success
L181,C141,2026-04-17 01:30:32.057151,1,success
L182,C147,2026-04-13 15:13:32.057153,3,failed
L183,C123,2026-04-18 02:57:32.057156,2,success
L184,C118,2026-04-14 09:17:32.057158,3,failed
L185,C107,2026-04-14 22:16:32.057160,3,failed
L186,C123,2026-04-14 05:43:32.057163,2,success
L187,C147,2026-04-13 20:08:32.057165,1,success
L188,C126,2026-04-15 15:02:32.057167,2,success
L189,C147,2026-04-12 22:09:32.057170,2,success
L190,C134,2026-04-17 08:11:32.057173,1,success
L191,C118,2026-04-18 12:47:32.057175,1,success
L192,C109,2026-04-18 00:32:32.057177,1,success
L193,C115,2026-04-16 09:37:32.057180,3,failed
L194,C135,2026-04-15 20:41:32.057182,3,failed
L195,C143,2026-04-13 22:06:32.057185,1,success
L196,C129,2026-04-15 06:41:32.057187,1,success
L197,C139,2026-04-15 02:26:32.057189,2,success
L198,C135,2026-04-19 02:31:32.057192,2,success
L199,C114,2026-04-14 08:47:32.057194,2,success
L200,C102,2026-04-14 18:26:32.057197,3,failed
L201,C111,2026-04-19 04:08:32.057200,3,failed
L202,C112,2026-04-13 14:23:32.057202,1,success
L203,C100,2026-04-13 05:22:32.057205,1,success
L204,C122,2026-04-16 05:08:32.057207,1,success
L205,C138,2026-04-17 00:25:32.057210,2,success
L206,C103,2026-04-15 03:14:32.057212,3,failed
L207,C145,2026-04-13 08:31:32.057214,2,success
L208,C133,2026-04-15 06:41:32.057217,1,success
L209,C126,2026-04-15 07:34:32.057219,1,success
L210,C107,2026-04-13 16:12:32.057222,1,success
L211,C133,2026-04-16 09:05:32.057224,1,success
L212,C127,2026-04-18 11:58:32.057227,3,failed
L213,C107,2026-04-18 01:05:32.057229,3,failed
L214,C100,2026-04-12 20:21:32.057231,2,success
L215,C115,2026-04-15 17:13:32.057234,2,success
L216,C123,2026-04-18 06:16:32.057236,4,failed
L217,C134,2026-04-15 00:52:32.057239,2,success
L218,C124,2026-04-14 20:08:32.057242,1,success
L219,C100,2026-04-13 00:44:32.057245,2,success
L220,C149,2026-04-15 00:10:32.057247,1,success
L221,C106,2026-04-15 02:10:32.057250,2,success
L222,C101,2026-04-15 22:22:32.057252,1,success
L223,C132,2026-04-14 07:30:32.057254,2,success
L224,C136,2026-04-17 19:38:32.057256,1,success
L225,C129,2026-04-16 20:18:32.057258,2,success
L226,C101,2026-04-16 07:50:32.057261,2,success
L227,C139,2026-04-16 01:12:32.057263,3,failed
L228,C124,2026-04-18 02:30:32.057265,3,failed
L229,C147,2026-04-19 03:21:32.057267,1,success
L230,C109,2026-04-13 12:56:32.057270,1,success
L231,C133,2026-04-18 21:32:32.057272,1,success
L232,C112,2026-04-14 03:39:32.057274,2,success
L233,C129,2026-04-19 02:44:32.057277,2,success
L234,C119,2026-04-13 10:17:32.057280,1,success
L235,C138,2026-04-15 04:31:32.057282,1,success
L236,C134,2026-04-15 14:15:32.057286,2,success
L237,C143,2026-04-12 23:20:32.057288,2,success
L238,C142,2026-04-19 12:48:32.057291,1,success
L239,C149,2026-04-18 03:58:32.057293,2,success
L240,C132,2026-04-15 02:27:32.057295,1,success
L241,C144,2026-04-16 20:51:32.057297,3,failed
L242,C138,2026-04-14 11:44:32.057300,1,success
L243,C148,2026-04-15 17:05:32.057302,1,success
L244,C127,2026-04-13 23:42:32.057304,3,failed
L245,C123,2026-04-14 19:40:32.057306,1,success
L246,C140,2026-04-19 11:40:32.057308,1,success
L247,C139,2026-04-15 21:48:32.057311,1,success
L248,C144,2026-04-17 09:58:32.057313,1,success
L249,C124,2026-04-19 07:36:32.057315,1,success
L250,C132,2026-04-13 18:08:32.057317,2,success
L251,C114,2026-04-17 20:37:32.057319,2,success
L252,C125,2026-04-15 18:14:32.057322,2,success
L253,C108,2026-04-13 19:58:32.057324,1,success
L254,C146,2026-04-18 20:14:32.057326,3,failed
L255,C111,2026-04-14 14:37:32.057328,1,success
L256,C139,2026-04-14 04:49:32.057330,1,success
L257,C122,2026-04-17 21:12:32.057333,2,success
L258,C143,2026-04-19 02:52:32.057335,3,failed
L259,C135,2026-04-13 15:58:32.057338,3,failed
L260,C148,2026-04-13 15:42:32.057340,3,failed
L261,C133,2026-04-15 21:07:32.057343,1,success
L262,C133,2026-04-15 04:56:32.057345,2,success
L263,C135,2026-04-13 12:25:32.057347,2,success
L264,C125,2026-04-17 06:45:32.057350,2,success
L265,C148,2026-04-15 21:53:32.057353,2,success
L266,C103,2026-04-18 02:39:32.057356,1,success
L267,C111,2026-04-17 03:34:32.057358,1,success
L268,C120,2026-04-18 20:18:32.057360,2,success
L269,C120,2026-04-18 10:50:32.057363,1,success
L270,C127,2026-04-18 15:48:32.057366,1,success
L271,C104,2026-04-13 00:20:32.057368,3,failed
L272,C119,2026-04-16 03:20:32.057370,2,success
L273,C131,2026-04-14 11:09:32.057373,1,success
L274,C114,2026-04-14 23:38:32.057375,1,success
L275,C132,2026-04-12 22:43:32.057377,1,success
L276,C141,2026-04-18 08:21:32.057380,1,success
L277,C100,2026-04-16 10:59:32.057382,1,success
L278,C119,2026-04-13 08:58:32.057384,2,success
L279,C117,2026-04-18 08:57:32.057387,2,success
L280,C121,2026-04-14 21:23:32.057389,2,success
L281,C101,2026-04-16 00:44:32.057392,1,success
L282,C111,2026-04-14 15:33:32.057394,1,success
L283,C112,2026-04-14 17:41:32.057397,1,success
L284,C146,2026-04-18 21:39:32.057399,3,failed
L285,C124,2026-04-16 01:06:32.057401,2,success
L286,C113,2026-04-16 04:06:32.057404,2,success
L287,C122,2026-04-18 03:03:32.057406,1,success
L288,C104,2026-04-13 10:03:32.057409,1,success
L289,C117,2026-04-18 16:41:32.057411,1,success
L290,C121,2026-04-14 10:29:32.057414,2,success
L291,C147,2026-04-18 14:18:32.057416,1,success
L292,C117,2026-04-17 12:01:32.057418,2,success
L293,C126,2026-04-12 21:43:32.057421,1,success
L294,C137,2026-04-12 18:27:32.057423,1,success
L295,C146,2026-04-15 11:30:32.057425,1,success
L296,C122,2026-04-18 21:25:32.057428,2,success
L297,C125,2026-04-13 08:04:32.057430,1,success
L298,C127,2026-04-17 08:25:32.057434,1,success
L299,C137,2026-04-17 22:09:32.057436,2,success
